,Email No.,the,to,ect,and,for,of,a,you,hou
2605,Email 2606,0,0,1,0,1,0,3,0,0
2606,Email 2607,0,1,1,0,1,0,5,0,0
2607,Email 2608,10,6,96,8,5,2,123,0,49
2608,Email 2609,9,6,96,5,2,2,116,0,49
2609,Email 2610,4,6,96,1,2,0,102,0,47
2610,Email 2611,7,9,1,4,7,1,60,9,2
2611,Email 2612,1,1,1,0,0,0,6,0,0
2612,Email 2613,6,3,1,1,1,0,21,0,0
2613,Email 2614,0,1,1,1,0,1,20,4,0
2614,Email 2615,0,0,1,0,0,1,3,0,0
2615,Email 2616,0,3,1,1,1,0,17,5,0
2616,Email 2617,0,1,1,0,1,0,2,0,0
2617,Email 2618,0,4,1,0,1,0,11,0,0
2618,Email 2619,9,6,96,8,3,2,122,0,49
2619,Email 2620,22,12,13,9,13,2,136,4,7
2620,Email 2621,6,2,1,1,2,0,48,3,0
2621,Email 2622,0,2,1,0,0,0,1,1,0
2622,Email 2623,5,6,19,1,3,1,59,3,12
2623,Email 2624,6,3,1,1,1,0,21,0,0
2624,Email 2625,2,3,1,1,2,1,25,0,0
2625,Email 2626,0,0,1,0,0,0,4,1,0
2626,Email 2627,0,2,1,0,0,1,33,0,0
2627,Email 2628,2,1,3,1,1,0,22,0,1
2628,Email 2629,0,0,1,0,0,0,3,1,0
2629,Email 2630,8,7,1,5,3,6,37,2,0
2630,Email 2631,0,1,1,3,1,2,17,2,0
2631,Email 2632,2,2,1,0,0,0,16,0,0
2632,Email 2633,0,1,1,0,1,0,2,0,0
2633,Email 2634,0,1,1,0,1,0,5,0,0
2634,Email 2635,6,9,16,0,4,1,64,3,8
2635,Email 2636,1,0,1,1,1,0,8,0,0
2636,Email 2637,4,5,1,0,3,1,37,3,0
2637,Email 2638,0,5,1,3,1,1,17,1,0
2638,Email 2639,19,19,1,7,1,7,106,5,2
2639,Email 2640,5,3,21,1,4,1,54,1,10
2640,Email 2641,6,1,2,1,3,0,42,2,1
2641,Email 2642,1,0,1,0,0,0,16,1,0
2642,Email 2643,32,15,24,9,15,2,176,5,12
2643,Email 2644,9,7,4,4,4,3,29,4,0
2644,Email 2645,3,9,2,9,3,3,82,16,0
2645,Email 2646,8,6,16,5,6,4,62,3,8
2646,Email 2647,1,4,1,1,1,1,23,1,0
2647,Email 2648,4,3,2,5,3,1,40,3,1
2648,Email 2649,8,11,4,4,1,4,54,3,0
2649,Email 2650,5,2,13,1,3,1,37,1,6
2650,Email 2651,2,5,4,5,3,2,44,3,2
2651,Email 2652,2,1,1,3,2,0,40,7,0
2652,Email 2653,4,2,1,0,2,1,12,0,0
2653,Email 2654,3,0,1,2,2,0,20,1,1
2654,Email 2655,4,0,1,4,3,0,32,1,1
2655,Email 2656,4,1,1,4,3,0,32,1,1
2656,Email 2657,0,1,1,0,1,0,2,0,0
2657,Email 2658,0,0,1,0,0,0,10,0,0
2658,Email 2659,0,1,1,0,1,0,5,0,0
2659,Email 2660,1,1,1,1,0,1,13,2,0
2660,Email 2661,12,11,7,3,7,4,87,8,5
2661,Email 2662,0,1,1,0,0,0,3,0,0
2662,Email 2663,1,2,1,1,3,1,26,2,0
2663,Email 2664,4,2,1,0,2,1,12,0,0
2664,Email 2665,1,2,1,0,0,0,10,3,0
2665,Email 2666,4,0,1,0,5,0,20,0,0
2666,Email 2667,1,0,1,0,1,1,13,0,1
2667,Email 2668,0,0,1,0,0,0,0,0,0
2668,Email 2669,2,3,2,0,0,1,6,0,0
2669,Email 2670,2,3,1,0,0,1,23,1,0
2670,Email 2671,0,1,1,0,1,0,5,0,0
2671,Email 2672,0,1,1,0,1,0,2,0,0
2672,Email 2673,3,3,1,2,0,2,27,4,0
2673,Email 2674,24,13,2,7,6,4,118,4,3
2674,Email 2675,2,0,1,1,1,0,27,0,0
2675,Email 2676,1,3,5,0,0,1,21,0,0
2676,Email 2677,0,1,1,0,0,0,3,0,0
2677,Email 2678,0,0,1,0,1,0,3,0,0
2678,Email 2679,0,1,1,0,1,0,5,0,0
2679,Email 2680,0,0,1,0,1,0,1,1,0
2680,Email 2681,0,0,1,0,0,0,3,1,0
2681,Email 2682,1,0,1,0,0,0,4,0,0
2682,Email 2683,0,1,1,0,1,0,2,0,0
2683,Email 2684,1,1,1,2,0,0,17,0,0
2684,Email 2685,19,11,11,3,2,3,86,0,7
2685,Email 2686,0,3,1,0,0,1,29,0,0
2686,Email 2687,27,22,12,9,4,8,137,5,8
2687,Email 2688,16,9,1,2,1,1,36,0,0
2688,Email 2689,3,1,1,0,0,0,14,0,0
2689,Email 2690,10,4,2,1,3,3,39,0,0
2690,Email 2691,1,1,2,0,2,0,20,1,0
2691,Email 2692,1,2,1,0,1,2,20,7,0
2692,Email 2693,2,2,3,0,2,0,15,0,1
2693,Email 2694,2,0,2,0,1,0,15,0,0
2694,Email 2695,5,4,1,0,0,0,28,2,1
2695,Email 2696,6,2,1,1,1,2,24,1,2
2696,Email 2697,8,3,2,1,2,0,36,4,0
2697,Email 2698,2,10,2,1,4,1,34,8,0
2698,Email 2699,3,3,1,0,1,1,15,1,1
2699,Email 2700,4,5,1,0,5,0,33,5,2
2700,Email 2701,0,1,1,0,1,0,2,0,0
2701,Email 2702,1,1,1,2,2,1,12,0,0
2702,Email 2703,0,4,1,0,1,0,11,0,0
2703,Email 2704,2,1,1,0,1,0,13,0,0
2704,Email 2705,8,9,1,5,6,8,69,19,1
2705,Email 2706,3,2,1,1,2,1,13,0,0
2706,Email 2707,1,4,1,1,1,1,22,1,0
2707,Email 2708,2,3,1,0,1,1,18,0,0
2708,Email 2709,2,2,1,1,1,0,36,5,0
2709,Email 2710,3,0,1,0,0,0,7,0,0
2710,Email 2711,6,6,1,3,5,1,70,14,1
2711,Email 2712,8,5,8,1,3,2,50,2,5
2712,Email 2713,0,0,1,0,0,0,3,0,0
2713,Email 2714,6,1,1,0,1,1,15,2,0
2714,Email 2715,2,1,1,0,0,2,20,0,0
2715,Email 2716,2,4,1,0,0,1,48,1,0
2716,Email 2717,9,0,1,3,3,1,29,0,0
2717,Email 2718,5,3,1,0,1,3,17,2,0
2718,Email 2719,6,7,1,2,5,0,41,8,2
2719,Email 2720,0,2,1,0,1,0,13,3,0
2720,Email 2721,1,1,2,0,0,0,4,0,0
2721,Email 2722,0,0,1,0,0,0,2,1,0
2722,Email 2723,0,0,1,0,1,0,2,0,0
2723,Email 2724,1,4,1,1,1,0,6,0,0
2724,Email 2725,0,2,1,0,1,0,5,0,0
2725,Email 2726,1,0,1,0,0,0,5,0,0
2726,Email 2727,4,5,9,2,2,1,35,0,3
2727,Email 2728,1,1,2,0,0,0,3,0,0
2728,Email 2729,2,0,1,0,1,0,17,0,0
2729,Email 2730,6,1,1,0,1,1,15,2,0
2730,Email 2731,3,8,2,9,3,3,81,15,0
2731,Email 2732,5,7,1,4,5,2,50,7,0
2732,Email 2733,1,8,2,1,1,0,71,5,0
2733,Email 2734,3,3,7,0,2,2,31,1,3
2734,Email 2735,1,0,2,0,0,0,21,0,1
2735,Email 2736,5,1,1,3,3,0,26,0,0
2736,Email 2737,5,8,4,4,7,2,67,7,1
2737,Email 2738,14,6,13,2,4,3,52,1,5
2738,Email 2739,1,0,1,1,0,0,3,0,0
2739,Email 2740,13,11,23,11,6,5,101,7,10
2740,Email 2741,0,1,1,1,2,3,14,4,1
2741,Email 2742,0,4,1,2,0,0,19,3,1
2742,Email 2743,5,2,1,0,1,1,21,2,0
2743,Email 2744,14,9,3,9,8,5,120,0,0
2744,Email 2745,0,0,1,0,1,0,2,0,0
2745,Email 2746,0,0,1,0,0,0,22,0,0
2746,Email 2747,10,8,7,6,3,2,91,18,2
2747,Email 2748,2,2,1,1,2,2,12,1,0
2748,Email 2749,7,11,15,4,2,1,50,1,7
2749,Email 2750,13,13,36,12,7,5,118,9,16
2750,Email 2751,1,0,1,1,0,0,14,2,0
2751,Email 2752,1,2,1,0,0,0,29,0,0
2752,Email 2753,15,24,53,15,8,6,158,10,24
2753,Email 2754,9,17,70,6,6,5,137,10,32
2754,Email 2755,3,3,1,4,1,5,42,5,2
2755,Email 2756,0,0,1,0,0,0,4,0,0
2756,Email 2757,28,14,5,29,13,0,174,3,2
2757,Email 2758,0,0,1,0,1,0,2,0,0
2758,Email 2759,0,0,1,0,1,0,5,0,0
2759,Email 2760,0,1,1,0,1,0,5,0,0
2760,Email 2761,1,0,2,2,0,0,26,0,0
2761,Email 2762,24,11,23,5,6,4,106,0,14
2762,Email 2763,0,5,1,2,0,0,38,1,0
2763,Email 2764,0,1,1,0,0,0,3,0,0
2764,Email 2765,0,0,1,0,1,0,3,0,0
2765,Email 2766,0,0,1,0,1,0,5,0,0
2766,Email 2767,11,9,1,5,5,5,82,12,2
2767,Email 2768,5,6,19,5,2,4,41,3,10
2768,Email 2769,4,5,1,6,3,2,63,6,1
2769,Email 2770,0,1,1,0,0,0,18,1,0
2770,Email 2771,0,0,1,0,1,0,2,0,0
2771,Email 2772,0,0,1,0,1,0,2,0,0
2772,Email 2773,0,0,1,0,1,0,11,0,0
2773,Email 2774,4,1,1,2,0,0,20,2,0
2774,Email 2775,0,0,1,0,0,0,3,0,0
2775,Email 2776,11,7,3,2,1,1,50,2,0
2776,Email 2777,3,6,1,1,2,2,19,0,0
2777,Email 2778,12,7,3,7,1,1,38,2,0
2778,Email 2779,7,14,10,1,7,1,65,3,2
2779,Email 2780,10,20,14,2,9,1,94,3,3
2780,Email 2781,1,1,1,0,0,0,3,1,0
2781,Email 2782,11,24,17,2,10,1,106,3,3
2782,Email 2783,60,46,11,23,20,46,403,10,6
2783,Email 2784,0,3,2,3,0,0,31,0,0
2784,Email 2785,2,4,1,2,5,2,44,3,0
2785,Email 2786,0,0,1,0,1,0,3,0,0
2786,Email 2787,30,18,3,22,16,23,206,26,2
2787,Email 2788,0,0,1,0,0,0,3,0,0
2788,Email 2789,1,0,1,0,0,0,10,0,1
2789,Email 2790,4,3,19,1,2,1,49,2,8
2790,Email 2791,0,1,1,0,0,0,3,1,0
2791,Email 2792,7,7,2,1,3,2,19,0,2
2792,Email 2793,4,1,1,2,1,5,24,1,0
2793,Email 2794,0,7,1,6,1,23,58,1,0
2794,Email 2795,6,4,1,2,2,0,31,1,0
2795,Email 2796,20,15,20,13,8,4,105,0,7
2796,Email 2797,0,0,1,0,1,0,2,0,0
2797,Email 2798,4,6,3,1,3,20,58,10,0
2798,Email 2799,0,0,1,0,0,0,3,0,0
2799,Email 2800,80,68,10,89,32,77,680,2,3
2800,Email 2801,5,7,5,5,9,0,69,1,1
2801,Email 2802,4,4,7,0,3,2,31,2,3
2802,Email 2803,1,1,2,0,0,0,17,1,0
2803,Email 2804,24,10,25,6,8,4,90,3,11
2804,Email 2805,0,1,5,0,1,0,8,0,2
2805,Email 2806,0,0,1,0,1,0,3,0,0
2806,Email 2807,0,0,1,0,0,3,23,0,0
2807,Email 2808,0,0,1,0,1,0,2,0,0
2808,Email 2809,8,7,16,6,3,3,59,2,4
2809,Email 2810,5,8,3,3,3,2,56,10,1
2810,Email 2811,6,5,8,4,3,3,39,2,1
2811,Email 2812,61,44,11,24,20,46,378,9,6
2812,Email 2813,0,5,3,3,1,0,55,0,0
2813,Email 2814,0,1,2,0,0,0,14,0,1
2814,Email 2815,0,1,1,0,1,0,11,1,0
2815,Email 2816,0,0,1,0,2,0,4,0,0
2816,Email 2817,3,5,1,3,3,1,37,4,0
2817,Email 2818,0,0,1,0,1,0,3,0,0
2818,Email 2819,2,5,11,1,1,1,21,1,5
2819,Email 2820,12,11,2,6,4,2,68,1,0
2820,Email 2821,2,2,2,0,1,0,19,0,0
2821,Email 2822,1,7,1,2,1,3,107,2,0
2822,Email 2823,3,0,1,0,3,0,12,2,0
2823,Email 2824,6,4,2,0,0,1,39,3,3
2824,Email 2825,3,4,2,2,0,0,21,1,1
2825,Email 2826,3,0,2,1,2,4,14,3,0
2826,Email 2827,0,2,1,0,0,0,24,0,0
2827,Email 2828,0,0,1,0,1,0,2,0,0
2828,Email 2829,2,7,1,3,3,0,76,4,1
2829,Email 2830,0,2,2,0,3,0,38,0,0
2830,Email 2831,2,2,2,0,3,0,24,0,0
2831,Email 2832,0,2,1,0,0,0,63,0,0
2832,Email 2833,1,0,1,0,0,0,6,0,0
2833,Email 2834,0,0,1,0,1,0,5,0,0
2834,Email 2835,0,0,1,0,1,0,5,0,0
2835,Email 2836,1,0,1,0,1,0,3,0,0
2836,Email 2837,1,9,3,3,0,0,77,4,0
2837,Email 2838,5,7,13,1,4,1,50,4,5
2838,Email 2839,2,3,1,4,0,0,27,1,0
2839,Email 2840,13,33,5,20,12,15,242,9,0
2840,Email 2841,3,3,1,1,0,0,18,1,0
2841,Email 2842,8,5,5,6,4,1,50,5,2
2842,Email 2843,4,4,3,1,1,0,26,0,0
2843,Email 2844,1,6,5,5,1,0,63,0,5
2844,Email 2845,0,0,1,0,1,0,5,0,0
2845,Email 2846,0,0,1,0,1,0,5,0,0
2846,Email 2847,8,5,5,6,4,1,50,5,2
2847,Email 2848,13,17,17,5,7,2,109,1,8
2848,Email 2849,9,12,6,5,6,2,86,1,3
2849,Email 2850,5,5,10,5,1,0,57,2,4
2850,Email 2851,29,13,31,6,10,5,112,3,14
2851,Email 2852,1,4,1,2,0,0,38,0,0
2852,Email 2853,6,5,1,0,1,2,23,1,1
2853,Email 2854,7,4,5,2,3,1,51,1,2
2854,Email 2855,35,33,6,11,4,15,187,5,3
2855,Email 2856,11,7,1,4,5,3,65,8,2
2856,Email 2857,0,0,1,0,1,0,2,0,0
2857,Email 2858,0,0,1,0,1,0,5,0,0
2858,Email 2859,4,4,2,1,2,8,39,5,2
2859,Email 2860,0,0,1,0,0,0,6,0,0
2860,Email 2861,9,7,22,3,1,2,65,2,11
2861,Email 2862,5,4,6,1,4,0,20,1,3
2862,Email 2863,8,11,8,0,3,2,39,1,4
2863,Email 2864,9,6,8,1,4,2,38,3,3
2864,Email 2865,2,0,1,1,2,1,9,0,0
2865,Email 2866,71,73,14,25,18,25,363,14,10
2866,Email 2867,2,1,1,3,3,0,36,6,0
2867,Email 2868,0,0,1,0,1,0,5,0,0
2868,Email 2869,1,2,1,0,0,0,18,0,0
2869,Email 2870,40,35,60,15,7,19,246,6,29
2870,Email 2871,10,6,97,4,4,2,117,0,51
2871,Email 2872,1,2,2,0,0,0,14,1,0
2872,Email 2873,7,6,5,4,4,2,54,2,0
2873,Email 2874,31,18,1,14,10,15,133,11,0
2874,Email 2875,3,2,2,2,1,1,23,2,0
2875,Email 2876,7,6,1,7,2,3,42,0,2
2876,Email 2877,10,5,2,5,4,2,61,3,0
2877,Email 2878,2,4,3,1,0,0,21,0,0
2878,Email 2879,0,0,1,0,1,0,2,0,0
2879,Email 2880,2,0,1,0,1,1,16,1,0
2880,Email 2881,0,0,1,0,1,0,5,0,0
2881,Email 2882,0,0,1,0,0,0,6,0,0
2882,Email 2883,3,11,1,3,4,7,68,9,0
2883,Email 2884,8,6,8,0,0,1,42,0,3
2884,Email 2885,4,4,2,9,9,3,58,7,1
2885,Email 2886,9,5,2,6,1,4,82,7,1
2886,Email 2887,3,3,3,1,4,0,30,4,1
2887,Email 2888,0,0,1,0,0,2,7,0,0
2888,Email 2889,5,4,1,1,2,3,43,4,3
2889,Email 2890,0,0,1,0,1,0,2,0,0
2890,Email 2891,5,6,9,5,3,1,41,2,4
2891,Email 2892,0,0,1,0,1,0,2,0,0
2892,Email 2893,0,0,1,0,1,0,9,0,0
2893,Email 2894,5,2,9,1,3,1,34,1,4
2894,Email 2895,1,5,1,0,1,0,5,1,1
2895,Email 2896,12,10,21,6,6,2,80,3,9
2896,Email 2897,12,12,36,6,6,2,99,3,16
2897,Email 2898,11,4,8,1,2,4,29,1,1
2898,Email 2899,4,4,2,1,2,8,39,5,2
2899,Email 2900,2,2,1,0,0,1,57,4,0
2900,Email 2901,2,1,3,2,2,1,11,1,0
2901,Email 2902,1,0,1,0,1,0,13,0,0
2902,Email 2903,0,1,2,0,0,0,14,0,1
2903,Email 2904,4,2,6,5,5,2,45,2,1
2904,Email 2905,4,1,1,1,1,1,17,4,0
2905,Email 2906,4,0,2,1,0,2,17,2,0
2906,Email 2907,19,15,4,6,13,3,121,4,1
2907,Email 2908,3,3,2,1,2,1,17,0,1
2908,Email 2909,0,0,1,0,1,0,2,0,0
2909,Email 2910,0,0,1,0,1,0,5,0,0
2910,Email 2911,4,2,6,5,5,2,45,2,1
2911,Email 2912,0,1,1,1,0,0,6,0,0
2912,Email 2913,4,0,2,1,0,2,17,2,0
2913,Email 2914,19,15,4,6,13,3,121,4,1
2914,Email 2915,3,3,2,1,2,1,17,0,1
2915,Email 2916,3,6,4,1,5,0,47,4,3
2916,Email 2917,26,12,11,4,7,3,110,4,4
2917,Email 2918,15,5,5,1,3,1,58,0,2
2918,Email 2919,11,13,1,15,5,6,132,15,2
2919,Email 2920,3,0,1,2,2,0,20,1,1
2920,Email 2921,4,0,1,4,3,0,32,1,1
2921,Email 2922,0,0,1,0,1,0,2,0,0
2922,Email 2923,4,5,1,7,3,3,61,7,0
2923,Email 2924,0,0,1,0,0,0,5,0,0
2924,Email 2925,26,12,11,4,7,3,110,4,4
2925,Email 2926,10,20,1,3,5,1,104,12,2
2926,Email 2927,15,5,5,1,3,1,58,0,2
2927,Email 2928,2,3,1,1,1,2,14,4,0
2928,Email 2929,0,2,1,0,0,0,7,0,0
2929,Email 2930,7,3,1,0,0,0,23,1,1
2930,Email 2931,0,3,3,0,2,0,9,0,1
2931,Email 2932,11,4,2,8,6,3,82,1,2
2932,Email 2933,2,4,1,1,0,1,20,2,0
2933,Email 2934,0,2,3,0,5,0,19,0,1
2934,Email 2935,6,1,1,0,3,0,26,1,0
2935,Email 2936,2,2,2,0,1,0,19,1,2
2936,Email 2937,2,4,10,0,4,3,51,1,4
2937,Email 2938,5,3,10,6,5,2,67,2,2
2938,Email 2939,4,2,2,0,2,2,9,3,1
2939,Email 2940,0,0,1,0,0,0,5,0,0
2940,Email 2941,2,2,3,2,0,0,10,0,0
2941,Email 2942,2,2,2,0,1,2,27,0,0
2942,Email 2943,0,0,1,1,1,0,6,0,0
2943,Email 2944,1,2,2,0,3,3,16,1,0
2944,Email 2945,0,0,1,0,1,0,2,0,0
2945,Email 2946,0,0,1,0,1,0,15,0,0
2946,Email 2947,2,1,1,2,1,0,52,0,0
2947,Email 2948,4,5,1,1,0,4,18,13,0
2948,Email 2949,5,3,10,6,5,2,67,2,2
2949,Email 2950,0,0,1,0,0,0,5,0,0
2950,Email 2951,43,24,1,3,4,2,108,3,3
2951,Email 2952,1,4,8,2,3,1,44,5,3
2952,Email 2953,0,1,2,1,0,1,38,0,0
2953,Email 2954,14,1,16,0,13,4,61,0,7
2954,Email 2955,30,17,1,16,13,20,170,16,2
2955,Email 2956,2,2,2,0,2,2,10,0,0
2956,Email 2957,1,0,1,0,0,1,9,1,0
2957,Email 2958,8,0,1,0,7,2,25,0,0
2958,Email 2959,0,1,5,0,1,0,10,0,2
2959,Email 2960,0,0,1,0,0,0,4,0,0
2960,Email 2961,0,0,1,0,1,0,2,0,0
2961,Email 2962,0,0,1,0,1,0,5,0,0
2962,Email 2963,4,7,9,6,4,1,80,12,3
2963,Email 2964,1,2,4,0,2,0,23,0,2
2964,Email 2965,0,9,3,0,1,0,22,0,1
2965,Email 2966,6,3,1,2,3,0,26,2,0
2966,Email 2967,8,2,3,5,2,4,37,1,0
2967,Email 2968,4,3,1,1,2,0,11,1,0
2968,Email 2969,1,1,1,0,1,0,18,1,0
2969,Email 2970,0,0,1,0,1,0,2,0,0
2970,Email 2971,0,6,4,3,1,17,80,0,0
2971,Email 2972,0,0,1,0,1,0,5,0,0
2972,Email 2973,1,1,1,0,1,0,6,0,0
2973,Email 2974,12,15,1,6,2,8,66,2,6
2974,Email 2975,17,2,31,0,18,5,95,0,14
2975,Email 2976,6,2,1,0,1,1,30,3,1
2976,Email 2977,5,1,1,0,1,0,30,1,0
2977,Email 2978,0,0,1,0,1,2,17,0,0
2978,Email 2979,0,0,1,0,1,0,2,0,0
2979,Email 2980,0,0,1,0,1,0,5,0,0
2980,Email 2981,1,3,1,0,1,0,32,1,0
2981,Email 2982,0,0,1,0,1,0,2,0,0
2982,Email 2983,4,4,25,0,5,2,44,1,12
2983,Email 2984,2,6,5,3,4,5,76,11,0
2984,Email 2985,6,2,1,0,1,1,30,3,1
2985,Email 2986,3,6,1,3,0,1,21,0,0
2986,Email 2987,0,5,1,1,0,1,20,7,0
2987,Email 2988,15,12,1,7,3,5,77,9,1
2988,Email 2989,2,5,4,0,0,3,14,0,0
2989,Email 2990,0,0,1,0,1,0,2,0,0
2990,Email 2991,0,0,1,0,1,0,5,0,0
2991,Email 2992,7,6,1,1,4,0,30,1,1
2992,Email 2993,1,0,1,1,0,0,8,0,0
2993,Email 2994,3,3,4,3,2,0,20,2,1
2994,Email 2995,0,0,1,0,1,0,1,1,0
2995,Email 2996,0,1,2,0,0,0,14,0,1
2996,Email 2997,5,6,9,9,3,7,85,1,4
2997,Email 2998,5,1,1,2,2,5,30,2,0
2998,Email 2999,9,9,4,6,3,3,78,3,1
2999,Email 3000,0,0,1,0,1,0,5,0,0
3000,Email 3001,0,2,2,0,1,0,27,0,0
3001,Email 3002,3,2,1,1,2,2,13,0,0
3002,Email 3003,0,0,1,0,1,0,2,0,0
3003,Email 3004,9,9,4,6,3,3,78,3,1
3004,Email 3005,4,2,2,1,3,1,33,0,1
3005,Email 3006,2,1,2,0,3,0,14,0,0
3006,Email 3007,0,1,1,0,0,1,5,0,0
3007,Email 3008,12,9,4,3,5,4,66,1,1
3008,Email 3009,17,6,2,7,4,8,58,2,0
3009,Email 3010,0,1,1,1,1,1,14,0,0
3010,Email 3011,6,2,1,1,4,2,50,1,0
3011,Email 3012,2,4,1,3,0,2,24,2,0
3012,Email 3013,0,4,2,0,0,2,23,2,0
3013,Email 3014,4,3,1,1,4,0,30,0,0
3014,Email 3015,2,3,1,0,4,0,15,0,0
3015,Email 3016,4,4,1,1,1,1,34,2,0
3016,Email 3017,0,0,1,0,1,0,2,0,0
3017,Email 3018,1,6,1,1,0,1,27,0,0
3018,Email 3019,0,0,1,0,1,0,3,0,0
3019,Email 3020,2,3,2,3,5,6,46,2,1
3020,Email 3021,1,1,2,0,0,0,5,0,0
3021,Email 3022,1,1,3,0,0,0,2,0,0
3022,Email 3023,7,4,1,3,1,2,32,5,0
3023,Email 3024,4,3,1,1,4,0,30,0,0
3024,Email 3025,2,3,1,0,4,0,15,0,0
3025,Email 3026,2,1,1,0,2,0,23,4,0
3026,Email 3027,1,0,1,1,0,0,8,0,0
3027,Email 3028,4,2,6,3,2,1,33,0,4
3028,Email 3029,0,0,1,0,0,2,8,0,0
3029,Email 3030,3,0,1,2,2,1,14,0,1
3030,Email 3031,41,33,12,17,10,12,296,7,1
3031,Email 3032,9,1,1,2,0,2,26,1,1
3032,Email 3033,4,4,2,3,4,6,40,1,1
3033,Email 3034,11,5,5,2,7,0,61,1,3
3034,Email 3035,0,0,1,0,0,0,21,0,0
3035,Email 3036,0,0,1,0,1,0,3,0,0
3036,Email 3037,0,0,1,0,1,0,2,0,0
3037,Email 3038,11,5,5,2,7,0,61,1,3
3038,Email 3039,6,4,1,1,2,2,24,4,0
3039,Email 3040,1,10,1,6,3,2,47,7,0
3040,Email 3041,5,6,3,12,2,1,73,1,1
3041,Email 3042,0,0,1,0,0,0,1,1,0
3042,Email 3043,12,7,1,3,3,3,49,2,2
3043,Email 3044,0,0,1,0,1,0,2,0,0
3044,Email 3045,0,0,1,0,1,0,3,0,0
3045,Email 3046,4,4,11,1,1,2,30,0,6
3046,Email 3047,14,11,10,2,3,4,62,1,7
3047,Email 3048,12,7,1,3,3,3,49,2,2
3048,Email 3049,3,6,2,3,1,4,54,7,0
3049,Email 3050,1,1,1,0,1,0,12,1,0
3050,Email 3051,0,0,1,0,1,0,5,0,0
3051,Email 3052,0,0,1,0,1,0,2,0,0
3052,Email 3053,1,1,1,0,1,0,12,1,0
3053,Email 3054,5,1,1,1,2,2,36,3,0
3054,Email 3055,3,6,5,4,1,4,98,10,0
3055,Email 3056,2,5,1,1,2,0,18,0,1
3056,Email 3057,3,8,2,1,3,0,45,1,1
3057,Email 3058,2,3,1,1,0,0,5,0,0
3058,Email 3059,8,4,1,1,0,3,22,0,0
3059,Email 3060,0,1,1,1,1,0,9,1,0
3060,Email 3061,6,7,1,0,2,3,26,1,0
3061,Email 3062,33,16,4,15,4,3,108,5,1
3062,Email 3063,0,0,1,0,1,0,2,0,0
3063,Email 3064,0,0,1,0,1,0,11,0,0
3064,Email 3065,2,0,1,0,0,1,5,0,0
3065,Email 3066,0,1,2,0,0,0,14,0,1
3066,Email 3067,1,0,1,2,2,1,19,2,0
3067,Email 3068,1,1,1,2,2,0,16,1,0
3068,Email 3069,1,3,1,1,3,1,20,1,0
3069,Email 3070,0,1,2,0,0,0,10,0,1
3070,Email 3071,10,15,13,1,4,5,82,2,5
3071,Email 3072,3,3,1,0,0,1,19,5,1
3072,Email 3073,13,8,5,4,5,3,65,2,3
3073,Email 3074,2,1,1,0,0,1,8,0,0
3074,Email 3075,40,26,13,5,3,15,173,12,7
3075,Email 3076,0,2,1,0,0,0,15,0,1
3076,Email 3077,0,2,1,0,0,0,16,0,1
3077,Email 3078,0,0,1,0,1,0,2,0,0
3078,Email 3079,1,2,1,0,0,2,7,2,0
3079,Email 3080,0,0,1,0,1,0,5,0,0
3080,Email 3081,13,8,5,4,5,3,65,2,3
3081,Email 3082,13,8,5,8,8,6,83,0,0
3082,Email 3083,0,1,1,1,1,0,9,1,0
3083,Email 3084,6,11,11,1,7,2,71,3,3
3084,Email 3085,11,13,9,4,1,3,62,2,3
3085,Email 3086,1,2,2,0,4,0,22,4,0
3086,Email 3087,1,1,1,0,2,0,25,4,0
3087,Email 3088,22,14,27,5,5,5,134,7,15
3088,Email 3089,8,7,7,1,6,0,61,0,4
3089,Email 3090,20,12,2,8,5,6,80,7,4
3090,Email 3091,4,1,1,1,2,1,12,0,0
3091,Email 3092,0,0,1,0,1,0,2,0,0
3092,Email 3093,0,0,1,0,1,0,5,0,0
3093,Email 3094,8,7,7,1,6,0,61,0,4
3094,Email 3095,4,1,1,1,2,1,12,0,0
3095,Email 3096,20,23,22,12,3,3,130,8,7
3096,Email 3097,47,39,19,20,18,20,268,18,8
3097,Email 3098,13,12,1,3,1,3,44,0,0
3098,Email 3099,4,5,1,1,2,3,18,0,0
3099,Email 3100,4,5,1,1,2,3,22,0,0
3100,Email 3101,29,20,11,8,10,8,149,3,6
3101,Email 3102,42,23,11,11,10,11,188,4,7
3102,Email 3103,0,2,1,0,0,0,27,1,1
3103,Email 3104,0,0,1,0,1,0,2,0,0
3104,Email 3105,0,0,2,0,0,0,12,0,0
3105,Email 3106,0,0,1,0,1,0,5,0,0
3106,Email 3107,15,10,8,4,7,7,94,6,1
3107,Email 3108,13,6,1,3,1,3,51,0,1
3108,Email 3109,37,20,40,16,24,3,209,29,17
3109,Email 3110,0,1,3,0,0,0,27,0,0
3110,Email 3111,1,0,2,0,1,0,4,0,1
3111,Email 3112,1,0,1,0,0,0,3,0,0
3112,Email 3113,2,6,1,2,2,3,44,4,1
3113,Email 3114,3,0,4,0,1,0,8,0,0
3114,Email 3115,0,0,1,0,1,0,2,0,0
3115,Email 3116,3,2,1,2,2,2,42,1,1
3116,Email 3117,0,0,1,0,1,0,5,0,0
3117,Email 3118,2,1,1,0,0,1,14,0,0
3118,Email 3119,7,8,1,1,3,3,25,0,0
3119,Email 3120,7,4,1,1,0,1,34,0,0
3120,Email 3121,0,0,1,0,1,0,2,0,0
3121,Email 3122,0,0,1,0,1,0,11,0,0
